date,version,usage
"Oct 25, 2022",2.10,165
"Jul 31, 2022",2.9.1,785
"Feb 11, 2022",2.9.0,"1,617"
"Oct 29, 2021",2.8.9,"2,078"
"Aug 20, 2021",2.8.8,800
"May 25, 2021",2.8.7,772
"Oct 04, 2019",2.8.6,"3,791"
"May 22, 2018",2.8.5,"4,635"
"May 01, 2018",2.8.4,295
"Apr 27, 2018",2.8.3,29
"Sep 20, 2017",2.8.2,"1,897"
"May 31, 2017",2.8.1,854
"Oct 27, 2016",2.8.0,"1,746"
"Jun 14, 2016",2.7,"1,208"
"Feb 27, 2016",2.6.2,"1,101"
"Feb 12, 2016",2.6.1,147
"Feb 11, 2016",2.6,14
"Nov 24, 2015",2.5,508
"Oct 04, 2015",2.4,499
"Nov 20, 2014",2.3.1,"1,517"
"Aug 11, 2014",2.3,438
"May 13, 2013",2.2.4,"1,686"
"Apr 12, 2013",2.2.3,57
"Jul 03, 2012",2.2.2,538
"May 11, 2012",2.2.1,59
"May 06, 2012",2.2,55
"Dec 31, 2011",2.1,259
"Nov 13, 2011",2.0,30
"Sep 30, 2011",1.7.2,135
"Apr 13, 2011",1.7.1,187
"Mar 15, 2011",1.6,60
"Mar 14, 2011",1.5,10
"Mar 24, 2010",1.4,70
