date,version,usage
"Sep 08, 2022",6.1.3.Final,2
"Aug 03, 2022",6.1.2.Final,3
"Jul 01, 2022",6.1.1.Final,6
"Jun 07, 2022",6.1.0.Final,1
"May 25, 2022",6.0.2.Final,3
"Mar 31, 2022",6.0.0.Final,2
"Jan 27, 2022",6.0.0.CR1,1
"Aug 04, 2021",6.0.0.Alpha9,1
"May 19, 2021",6.0.0.Alpha8,1
"Mar 19, 2021",6.0.0.Alpha7,1
"Aug 21, 2020",6.0.0.Alpha6,1
"Apr 24, 2020",6.0.0.Alpha5,1
"Nov 04, 2022",5.6.14.Final,23
"Nov 04, 2022",5.6.13.Final,33
"Sep 27, 2022",5.6.12.Final,86
"Aug 30, 2022",5.6.11.Final,98
"Jul 07, 2022",5.6.10.Final,131
"May 14, 2022",5.6.9.Final,110
"Apr 13, 2022",5.6.8.Final,98
"Mar 16, 2022",5.6.7.Final,99
"Mar 15, 2022",5.6.6.Final,17
"Jan 25, 2022",5.6.5.Final,108
"Jan 19, 2022",5.6.4.Final,40
"Dec 16, 2021",5.6.3.Final,95
"Dec 08, 2021",5.6.2.Final,26
"Oct 27, 2021",5.6.1.Final,93
"Oct 11, 2021",5.6.0.Final,62
"Sep 29, 2021",5.6.0.CR1,18
"Sep 20, 2021",5.6.0.Beta2,21
"Aug 27, 2021",5.6.0.Beta1,17
"Dec 16, 2021",5.5.9.Final,40
"Oct 13, 2021",5.5.8.Final,34
"Aug 25, 2021",5.5.7.Final,89
"Aug 04, 2021",5.5.6.Final,25
"Aug 04, 2021",5.5.6,27
"Jul 29, 2021",5.5.5.Final,27
"Jul 19, 2021",5.5.4.Final,35
"Jun 22, 2021",5.5.3.Final,62
"Jun 14, 2021",5.5.2.Final,36
"Jun 01, 2021",5.5.0.Final,31
"May 24, 2021",5.5.0.CR1,18
"May 12, 2021",5.5.0.Beta1,19
"Apr 30, 2021",5.5.0.Alpha1,17
"Jan 10, 2022",5.4.33.Final,38
"Dec 17, 2021",5.4.33,39
"May 24, 2021",5.4.32.Final,129
"Apr 29, 2021",5.4.31.Final,58
"Mar 19, 2021",5.4.30.Final,95
"Mar 03, 2021",5.4.29.Final,83
"Feb 09, 2021",5.4.28.Final,69
"Feb 08, 2021",5.4.27.SP1,18
"Dec 22, 2020",5.4.27.Final,98
"Dec 14, 2020",5.4.26.Final,31
"Dec 01, 2020",5.4.25.Final,78
"Nov 17, 2020",5.4.24.Final,88
"Nov 01, 2020",5.4.23.Final,64
"Sep 30, 2020",5.4.22.Final,74
"Aug 27, 2020",5.4.21.Final,114
"Aug 10, 2020",5.4.20.Final,73
"Jul 27, 2020",5.4.19.Final,32
"Jun 22, 2020",5.4.18.Final,110
"May 29, 2020",5.4.17.Final,75
"May 18, 2020",5.4.16.Final,56
"Apr 30, 2020",5.4.15.Final,87
"Apr 06, 2020",5.4.14.Final,43
"Mar 27, 2020",5.4.13.Final,46
"Feb 13, 2020",5.4.12.Final,118
"Feb 07, 2020",5.4.11.Final,37
"Dec 05, 2019",5.4.10.Final,479
"Nov 15, 2019",5.4.9.Final,419
"Oct 28, 2019",5.4.8.Final,60
"Oct 21, 2019",5.4.7.Final,376
"Sep 30, 2019",5.4.6.Final,55
"Sep 17, 2019",5.4.5.Final,26
"Jul 30, 2019",5.4.4.Final,445
"May 30, 2019",5.4.3.Final,450
"Mar 21, 2019",5.4.2.Final,469
"Jan 20, 2019",5.4.1.Final,453
"Dec 12, 2018",5.4.0.Final,408
"Nov 29, 2018",5.4.0.CR2,18
"Nov 15, 2018",5.4.0.CR1,19
"Aug 15, 2022",5.3.28.Final,20
"Jun 13, 2022",5.3.27.Final,20
"Apr 09, 2022",5.3.26.Final,21
"Dec 16, 2021",5.3.25.Final,19
"Nov 16, 2021",5.3.24.Final,30
"Sep 29, 2021",5.3.23.Final,23
"Aug 20, 2021",5.3.22.Final,25
"Jul 16, 2021",5.3.21.Final,21
"Nov 16, 2020",5.3.20.Final,100
"Nov 10, 2020",5.3.19.Final,21
"Aug 05, 2020",5.3.18.Final,85
"Apr 30, 2020",5.3.17.Final,72
"Mar 31, 2020",5.3.16.Final,44
"Jan 08, 2020",5.3.15.Final,44
"Nov 08, 2019",5.3.14.Final,36
"Oct 08, 2019",5.3.13.Final,40
"Sep 12, 2019",5.3.12.Final,44
"Aug 16, 2019",5.3.11.Final,43
"Apr 20, 2019",5.3.10.Final,85
"Feb 26, 2019",5.3.9.Final,50
"Feb 19, 2019",5.3.8.Final,17
"Oct 17, 2018",5.3.7.Final,522
"Aug 28, 2018",5.3.6.Final,426
"Aug 14, 2018",5.3.5.Final,75
"Aug 02, 2018",5.3.4.Final,39
"Jul 20, 2018",5.3.3.Final,333
"Jul 05, 2018",5.3.2.Final,52
"May 25, 2018",5.3.1.Final,51
"May 14, 2018",5.3.0.Final,43
"Apr 27, 2018",5.3.0.CR2,20
"Feb 15, 2018",5.3.0.CR1,22
"Feb 01, 2018",5.3.0.Beta2,16
"Jan 18, 2018",5.3.0.Beta1,16
"Jan 31, 2019",5.2.18.Final,352
"Apr 26, 2018",5.2.17.Final,415
"Mar 22, 2018",5.2.16.Final,355
"Mar 08, 2018",5.2.15.Final,34
"Feb 27, 2018",5.2.14.Final,34
"Feb 06, 2018",5.2.13.Final,304
"Oct 19, 2017",5.2.12.Final,412
"Sep 13, 2017",5.2.11.Final,312
"Apr 14, 2017",5.2.10.Final,362
"Mar 16, 2017",5.2.9.Final,222
"Feb 17, 2017",5.2.8.Final,45
"Jan 19, 2017",5.2.7.Final,38
"Dec 20, 2016",5.2.6.Final,105
"Nov 24, 2016",5.2.5.Final,126
"Oct 26, 2016",5.2.4.Final,34
"Sep 30, 2016",5.2.3.Final,30
"Aug 04, 2016",5.2.2.Final,112
"Jun 30, 2016",5.2.1.Final,40
"Jun 02, 2016",5.2.0.Final,31
"Jan 31, 2019",5.1.17.Final,26
"Sep 13, 2018",5.1.16.Final,25
