date,version,usage
"Nov 05, 2022",2.14.0,216
"Oct 29, 2022",2.14.0-rc3,64
"Oct 11, 2022",2.14.0-rc2,236
"Sep 26, 2022",2.14.0-rc1,135
"Oct 13, 2022",2.13.4.2,883
"Oct 12, 2022",2.13.4.1,209
"Sep 04, 2022",2.13.4,"1,852"
"May 14, 2022",2.13.3,"3,176"
"Mar 29, 2022",2.13.2.2,"1,920"
"Mar 25, 2022",2.13.2.1,781
"Mar 06, 2022",2.13.2,"1,157"
"Dec 21, 2021",2.13.1,"2,428"
"Sep 30, 2021",2.13.0,"1,879"
"Aug 27, 2021",2.13.0-rc2,68
"Jul 14, 2021",2.13.0-rc1,53
"Oct 13, 2022",2.12.7.1,10
"May 26, 2022",2.12.7,176
"Mar 27, 2022",2.12.6.1,492
"Dec 15, 2021",2.12.6,510
"Aug 27, 2021",2.12.5,"1,489"
"Jul 06, 2021",2.12.4,"1,493"
"Apr 12, 2021",2.12.3,"2,232"
"Mar 03, 2021",2.12.2,"1,364"
"Jan 09, 2021",2.12.1,"1,731"
"Nov 29, 2020",2.12.0,"1,036"
"Nov 15, 2020",2.12.0-rc2,41
"Oct 12, 2020",2.12.0-rc1,60
"Dec 12, 2020",2.11.4,761
"Oct 02, 2020",2.11.3,"1,728"
"Aug 02, 2020",2.11.2,"1,624"
"Jun 25, 2020",2.11.1,"1,280"
"Apr 26, 2020",2.11.0,"1,694"
"Mar 24, 2020",2.11.0.rc1,62
"Dec 02, 2020",2.10.5.1,976
"Jul 21, 2020",2.10.5,567
"May 03, 2020",2.10.4,600
"Mar 03, 2020",2.10.3,"1,556"
"Jan 05, 2020",2.10.2,"1,771"
"Nov 09, 2019",2.10.1,"1,883"
"Sep 26, 2019",2.10.0,"2,147"
"Sep 17, 2019",2.10.0.pr3,100
"Aug 31, 2019",2.10.0.pr2,414
"Jul 19, 2019",2.10.0.pr1,242
"Jan 06, 2021",2.9.10.8,196
"Dec 02, 2020",2.9.10.7,136
"Aug 25, 2020",2.9.10.6,138
"Jun 22, 2020",2.9.10.5,242
"Apr 11, 2020",2.9.10.4,384
"Feb 23, 2020",2.9.10.3,335
"Jan 03, 2020",2.9.10.2,159
"Oct 19, 2019",2.9.10.1,704
"Sep 21, 2019",2.9.10,963
