id,body,creationdate,lasteditdate,date
23840,"I am with Brad on this one.  The more I work on immensely complex systems, the more I see the need to truly decouple objects.  He's right.  It's obvious that a needle shouldn't know anything about haystack, so 1 is definitely out.  But, a haystack should know nothing about a needle.  
If I were modeling a haystack, I might implement it as a collection -- but as a collection of hay or straw -- not a collection of needles!  However, I would take into consideration that stuff does get lost in a haystack, but I know nothing about what exactly that stuff.  I think it's better to not make the haystack look for items in itself (how smart is a haystack anyway).  The right approach to me is to have the haystack present a collection of things that are in it, but are not straw or hay or whatever gives a haystack its essence.

There's actually more I was going to type and abstract into interfaces and then I realized how crazy I was getting.  Felt like I was in a CS class in college... :P
You get the idea.  I think going as loosely coupled as possible is a good thing, but maybe I was getting a bit carried away!  :)
",2008-08-23 01:52:06,,2008-08-23 01:52:06
80421,"The DSNIFF package has the mailsnarf utility. It can grab POP3 too. There are all sorts of other wonderful sniffing utilities there. Make sure you have the legal right before using these tools (the legal right to intercept other peoples traffic). I beleive the documentation has more information on the legality. According to the web page there are Windows and Mac OS X ports too.
It would not be too hard to analyze the text output of the program.
",2008-09-17 06:02:01,2008-09-17 06:08:20,2008-09-17 06:08:20
153157,"There are some tools like Egypt http://www.gson.org/egypt/egypt.html that work, but only if you match the expected GCC version used to compile the code and the exact version of the callgraph generator. The same can be said about  codeviz http://www.csn.ul.ie/~mel/projects/codeviz/
Other option is valgrind used in cachegrind mode (it generates a type of callgraph that you can follow from kcachegrind  program.
",2008-09-30 14:05:48,,2008-09-30 14:05:48
200869,"I've been trying to call Page Methods from my own JavaScript code but it doesn't work. If I use jQuery AJAX I can sucessfully call the Page Methods, but I need to do this from my own JavaScript code because we can't use third-party libraries (we are building our own library).
Whenever I use jQuery AJAX methods I get the result of the Page Method, and when I use my custom JS methods I get whole page back from the AJAX Request.
There must be something different in the way jQuery handles AJAX requests. Does anyone know what could it be?
Below is the code I use to call the same Page Method with jQuery, which works, and the code that I'm using to call it on my own.
jQuery

Custom JS

UPDATE: I've decided to accept Stevemegson's since his answer was the actual cause to my problem. But I'd like to share with yo a few alterantives I've found to this problem.
Stevemegson's Answer:
All I had to do was to change to a POST request and set the request header to JSON,that solved my problem on requesting Page Methods, but now I'm haing a hard time on handling the Response (I'll say more about that on another question).
Here's the right code to get this stuff:

Brendan's Answer: Through Brendan's answer I did a little research on the ICallBack Interface and the ICallBackEventHandler. To my surprise that's a way to develop aspx pages using Microsoft's implementation of AJAX Request's. This turns out to be a really interesting solution, since it dosen't require any JS Library to work out and it's inside .Net Framework and I believe that only a few people know about this stuff (at least those that are around me didn't know about it at all).
If you wanna know more abou ICallBack check this link text on MS or just copy and paste Brendan's answer.
A Third Solution:  Another solution I found was to instead of creating ASPX pages to handle my server side code I would implement HTML pages and call ASHX files that would do the same thing but they would use less bandwith than an ASPX page. One great about this solution is that I maged to make it work with POST and GET requisitions. Below is the code.
ASHX Code:

JavaScript File:

With any of these three options we can make asynchronous calls without use JQuery, using our own Javacript or using the resources Microsoft embeeded on .Net Framework. 
I hope this helps our some of you.
",2008-10-14 12:02:57,2012-08-30 01:05:54,2012-08-30 01:05:54
202577,"It gives a better idea of the intent when you use a static factory -- it also lets you have different factories that take the same argument types but have a different meaning.  For example, imagine if Bitmap had LoadFromResource(string) -- it would not be possible to have two constructors that both took string.
EDIT: From stevemegson in the comments

A static factory can also return null, and can more easily return an instance that it got from cache. Many of my classes have a static FromId(int) to get an instance from a primary key, returning an existing cached instance if we have one.

",2008-10-14 20:01:23,2008-10-15 12:15:34,2008-10-15 12:15:34
228774,"
This would match:
100.00
optional ""1-9"" followed by a digit (this makes the int part), optionally followed by a dot and two digits
From what I see, Greg Hewgill's example doesn't really work that well because parseFloat('15x') would simply return 15 which would match the 0<x<100 condition. Using parseFloat is clearly wrong because it doesn't validate the percentage value, it tries to force a validation. Some people around here are complaining about leading zeroes and some are ignoring trailing invalid characters. Maybe the author of the question should edit it and make clear what he needs.
",2008-10-23 06:54:28,2011-12-03 02:37:20,2011-12-03 02:37:20
234469,"There are a few programs that I would suggest.
Paros Proxy and Ratproxy have already been noted.
scapy is a powerful packet manipulation tool, and has all of the sniffing and monitoring capabilities as well.
dsniff is a suite of tools that allows manipulation, injection, and all sorts of interception and modification options.
There is also a plugin for IE called Tamper IE that has a simple GUI based packet editor.
All of these are free.
",2008-10-24 17:23:33,,2008-10-24 17:23:33
239284,"Try serializing to json with Gson for example.
",2008-10-27 07:45:54,,2008-10-27 07:45:54
252996,"XML-GCC can't do that, because it only reports the data types (and function signatures). It ignores the function bodies. To see that, create a.cc:

and then run . Look at the generated a.xml, to see that the only mentioning of foo (or its id) is in the declaration of foo.
An alternative might be available in codeviz (http://www.csn.ul.ie/~mel/projects/codeviz/). It consists of a patch to gcc 3.4.6 that generates call dependency information - plus some perl scripts that generate graphviz input; the latter you can safely ignore.
As yet another alternative (which doesn't need gcc modifications) you could copy the approach from egypt (http://www.gson.org/egypt/); this parses GCC RTL dumps. It should work with any recent GCC, however, it might be that you don't get calls to inline functions.
In any case, with these approaches, you won't get ""calls"" to macros, but that might be actually the better choice.
",2008-10-31 09:56:53,2015-12-09 02:59:40,2015-12-09 02:59:40
420561,"In response to stevemegson (first answer) - shouldn't the first parameter into the pageTracker._addItem method be the OrderID, not the itemNumber?
",2009-01-07 14:49:06,,2009-01-07 14:49:06
