id,body,creationdate,lasteditdate,date
583563,"Also: you could consider using one of other parsers from json.org's list: most of them allow your Json ""objects"" and ""arrays"" to map natively to java.util.Maps and java.util.Lists; or in some cases to real Java objects too.
My recommendation would be Jackson, http://jackson.codehaus.org/Tutorial
which allows for mapping to List/Map/Integer/String/Boolean/null, as well as to real Beans/POJOs. Just give it the type and it maps data to you, or writes Java objects as Json.
Others like ""json-tools"" from berlios, or google-gson also expose similar functionality.
",2009-02-24 20:58:02,,2009-02-24 20:58:02
823632,"Some JSON parsers do offer incremental (""streaming"") parser; for Java, at least following parsers from json.org page offer such an interface:

Jackson (pull interface)
Json-simple (SAX-style push interface)

(in addition to Software Monkey's parser referred to by another answer)
Actually, it is kind of odd that so many JSON parsers do NOT offer this simple low-level interface -- after all, they already need to implement low-level parsing, so why not expose it.
EDIT (June 2011): Gson too has its own streaming API (with gson 1.6)
",2009-05-05 06:41:55,2017-05-23 12:03:02,2017-05-23 12:03:02
836805,"I'm using XStream and JETTISON's Stax JSON serializer to send/receive messages to/from JSON javascripts clients and Java web applications.
I want to be able to create a list of objects to send to the server and be properly marshalled into Java but the format that XStream and JSON expect it in is very non-intuitive and requires our javascript libraries to jump through hoops.
[EDIT Update issues using GSON library]
I attempted to use the GSON library but it cannot deserialize concrete objects when I only have it expect generic super classes (XStream and Jettison handles this because type information is baked into the serialization). 
GSON FAQ states Collection Limitation:

Collections Limitations
Can serialize collection of arbitrary objects but can not deserialize from it
Because there is no way for the user to indicate the type of the resulting object
While deserializing, Collection must be of a specific generic type

Maybe I'm using bad java practices but how would I go about building a JSON to Java messaging framework that sent/received various concrete Message objects in JSON format?
For example this fails:

Here's an example, I want to send a list of 3 Message objects, 2 are of the same type and the 3rd is a different type.

Intuitively I expect the XStream JSON to be serialized (and able to deserialize correctly) from the following format:

Instead XStream creates a single element list with fields that are named the classnames and nested arrays of Objects of the same type.

The trouble may be caused by it using the XStream XML CollectionConverter?
Does anyone have a suggestion for a good JSON Java object serialization that allows you to read/write arbitrary Java objects. I looked at the Jackson Java JSON Processor but when you were reading in objects from a stream you had to specify what type of object it was unlike XStream where it will read in any object (because the serialized  XStream JSON contains class name information).
",2009-05-07 20:14:28,2009-05-12 05:30:00,2009-05-12 05:30:00
849495,"I agree with other poster in that XStream is not a good fit -- it's an OXM (Object/Xml Mapper), and JSON is handled as a secondary output format using XML processing path. This is why a ""convention"" (of how to convert hierarchich xml model into object-graph model of json and vice versa) is needed; and your choice boils down to using whatever is least intrusive of sub-optimal choices.
That works ok if XML is your primary data format, and you just need some rudimentary JSON(-like) support.
To get good JSON-support, I would consider using a JSON processing library that does real OJM mapping (I assume Svenson does too, but additionally), such as:

Jackson
Google-gson

Also: even if you do need to support both XML and JSON, you are IMO better off using separate libraries for these tasks -- objects (beans) to use on server-side need not be different, just serialization libs that convert to/from xml and json.
",2009-05-11 18:50:09,,2009-05-11 18:50:09
1857774,"I've been trying to make my code work on Windows (moved from the Mac) and for some reason I get a runtime error related to my strcpy call.
Please help!!
Cust.h

Cust.cpp

main.cpp

P3_custData.txt

",2009-12-07 04:18:33,,2009-12-07 04:18:33
2378402,"After searching through some existing libraries for JSON, I have finally ended up with these two:

Jackson
Google GSon

I am a bit partial towards GSON, but word on the net is that GSon suffers from a certain celestial performance issue (as of Sept 2009).
I am continuing my comparison; in the meantime, I'm looking for help to make up my mind.
",2010-03-04 10:20:31,2013-08-22 21:23:53,2013-08-22 21:23:53
2431212,"Jackson and Gson are the most complete Java JSON packages regarding actual data binding support; many other packages only provide primitive Map/List (or equivalent tree model) binding.
Both have complete support for generic types, as well, as enough configurability for many common use cases.
Since I am more familiar with Jackson, here are some aspects where I think Jackson has more complete support than Gson (apologies if I miss a Gson feature):

Extensive annotation support; including full inheritance, and advanced ""mix-in"" annotations (associate annotations with a class for cases where you can not directly add them)
Streaming (incremental) reading, writing, for ultra-high performance (or memory-limited) use cases; can mix with data binding (bind sub-trees) -- EDIT: latest versions of Gson also include streaming reader
Tree model (DOM-like access); can convert between various models (tree <-> java object <-> stream)
Can use any constructors (or static factory methods), not just default constructor
Field and getter/setter access (earlier gson versions only used fields, this may have changed)
Out-of-box JAX-RS support
Interoperability: can also use JAXB annotations, has support/work-arounds for common packages (joda, ibatis, cglib), JVM languages (groovy, clojure, scala)
Ability to force static (declared) type handling for output
Support for deserializing polymorphic types (Jackson 1.5) -- can serialize AND deserialize things like List correctly (with additional type information)
Integrated support for binary content (base64 to/from JSON Strings)

",2010-03-12 07:51:09,2012-05-03 01:07:11,2012-05-03 01:07:11
2525152,"[Update Sept 2020] Although my original answer here, from many years ago, seems to be helpful and is still getting upvotes, I now use the GSON library from Google, which I find to be more intuitive.
I've got the following code:

It's reading from a file, but  will also accept an  and you can obtain an  from a string by using the following:

There's a bit more explanation about the mapper on my blog.
",2010-03-26 17:04:42,2020-09-06 10:22:19,2020-09-06 10:22:19
2557590,"Why not use  as your ? It can be put in an  easily and is basically a glorified typesafe .
If you still need to use JSON I would recommend Jackson. It's easy and fast (faster than GSON) for converting to and from Java objects (including )
",2010-04-01 01:16:39,,2010-04-01 01:16:39
2587471,"I have a Java process that is working on some large data set in memory. I've seen it crash with a SIGSEGV signal sometimes, so i was wondering some potential causes and fixes could do.
Caues:

JVM bug
Native library bug (e.g pthreads etc)
JNI bug in user code

Fixes:

Upgrade to new JVM

In my particular case, this is the output form the log file (pruned)

[error occurred during error reporting (printing date and time), id 0xb]
",2010-04-06 18:56:47,2010-04-06 20:33:39,2010-04-06 20:33:39
